&,'',--,1,12,16,182,183,184,185,186,187,188,189,190,191,192,193,24,30,4,5,_and_,_cigar,_embroidery,_insertio,_insertion_,_key,_pen,_wicker,``,ach,afterwards,also,alt,another,applique,applique_,articles,ation,away,ba,bag,bag_,basket,basket_,beads,berlin,bird,black,blending,blue,bodices,bone,bord,border,brass,brown,button,c.,c._,calico,cambric,caps,cardboard,carved,case,case_,cashmere,centre,chain,cigar,circle,circles,clearly,cloth,co.,collar,colour,coloured,colours,compose,consists,continue,cord,correspond,cotton,course,couvrettes,covered,covers,cravats,cross,crossings,cut,dots,dotted,e,edge,edged,embossed,embroidered,embroidery,entirely,er,ernately,evans,eyelet,eyes,f,fastened,figure,figures,fine,finished,first,fixed,flower,flowers,form,formed,four,fringe,full,furniture,gilt,glace,glazed,gold,gothic,green,grey,h,halves,handle,hem,herring,hole,holes,hooks,illust,illustr,illustration,imitated,imitates,ine,initials,insertion,inside,ivory,join,joined,joiner,ked,key,kid,large,larger,leather,leaves,li,light,lighter,line,lined,linen,lingerie,lining,little,lock,loop,lower,ly,made,make,match,material,materials,may,means,messrs.,mexico,morning,mountings,muslin,must,n_,ne,neatly,network,ngerie,night,one,ones,open,opposite,ornamented,outlines,overca,overcast,overlap,owl,paper,part,pattern,patterns,pen,pens,piece,pincushions,pinked,place,placing,plumage,point,pointed,poppies,prepared,pretty,prevailing,pur,purse,put,raised,ration,red,rep,rests,revers,ribbon,room,round,row,russe,russia,satin,scallops,scarlet,screws,se,seen,selected,sew,shades,shape,sharply,shown,shows,side,sides,silk,silver,sits,size,sized,sket,small,spots,squares,st,stand,star,stars,steel,stems,stitch,stitched,stitching,suitable,surround,th,thread,toilet,trimmed,trimming,two,upon,upper,used,various,walter,waste,watered,well,white,wip,wipe,wiper,wit,wool,woollen,wools,wor,work,worked,wreath
&,3,"[162, 171, 241]"
'',1,[68]
--,20,"[3, 58, 63, 154, 167, 237, 246, 390, 411, 418, 432, 467, 501, 504, 565, 583, 600, 650, 653, 693]"
1,3,"[256, 365, 367]"
12,1,[182]
16,1,[662]
182,3,"[0, 57, 92]"
183,3,"[2, 62, 100]"
184,2,"[151, 166]"
185,2,"[153, 236]"
186,2,"[243, 389]"
187,3,"[245, 292, 410]"
188,2,"[417, 431]"
189,2,"[466, 500]"
190,2,"[503, 564]"
191,2,"[582, 599]"
192,2,"[649, 652]"
193,1,[692]
24,2,"[180, 479]"
30,1,[429]
4,9,"[21, 82, 252, 259, 262, 266, 268, 298, 300]"
5,2,"[17, 75]"
_and_,3,"[1, 152, 244]"
_cigar,1,[505]
_embroidery,1,[155]
_insertio,1,[468]
_insertion_,2,"[419, 654]"
_key,1,[4]
_pen,1,[247]
_wicker,1,[584]
``,1,[55]
ach,1,[308]
afterwards,1,[491]
also,4,"[199, 219, 375, 681]"
alt,1,[363]
another,1,[371]
applique,1,[108]
applique_,1,[250]
articles,1,[191]
ation,1,[648]
away,1,[231]
ba,1,[603]
bag,6,"[35, 60, 65, 103, 134, 145]"
bag_,1,[5]
basket,2,"[589, 605]"
basket_,1,[587]
beads,2,"[274, 323]"
berlin,1,[592]
bird,1,[66]
black,12,"[254, 273, 276, 322, 334, 352, 373, 385, 404, 513, 535, 553]"
blending,1,[87]
blue,2,"[19, 71]"
bodices,1,[159]
bone,1,[326]
bord,1,[627]
border,4,"[135, 324, 545, 637]"
brass,1,[613]
brown,4,"[23, 80, 525, 573]"
button,3,"[150, 221, 667]"
c.,2,"[172, 242]"
c._,1,[163]
calico,3,"[387, 597, 631]"
cambric,2,"[175, 187]"
caps,1,[161]
cardboard,1,[383]
carved,1,[397]
case,3,"[520, 562, 567]"
