--,1,10,10th,11,11th,12,12th,13,14,1st,2,20,259,260,261,262,2nd,3,30,3rd,4,4th,5,5th,6,6th,7,7th,8,8th,9,9th,_crochet,_d'oyley,alternately,another,begin,begun,bell,boar,border,carry,cast,centre,ch,cha,chain,circle,close,co.,comes,completed,consisting,consists,continue,continuing,cotton,crochet,cross,d'oyley,d'oyleys,da,darned,divided,dle,doubl,double,drawing,drawn,e,easily,eedle,equally,evans,every,far,figures,first,following,follows,forms,foundation,grounding,guipure,half,head,illustratio,illustration,imitates,imitation,inserting,insertion,ke,kept,kind,lace,lace_,last,leaf,leave,leaves,li,like,long,look,loop,loops,lying,made,make,makes,manner,material,may,messrs.,mid,middle,miss,missing,mitating,must,n,nd,nearest,needle,netting,next,no_,one,ound,particular,pattern,patterns,point,preceding,purl,r,raised,repeat,rn,round,row,rows,scallop,seen,shaped,shows,side,single,slip,square,still,stitch,stitches,sufficiently,taken,taking,th,threads,throw,tight,till,times,together,treble,unite,walter,way,windings,work,worked
--,10,"[13, 159, 163, 177, 195, 502, 587, 602, 688, 857]"
1,102,"[77, 88, 98, 106, 114, 143, 200, 224, 247, 253, 255, 265, 269, 271, 274, 276, 291, 295, 299, 301, 306, 313, 320, 322, 324, 333, 337, 339, 352, 358, 380, 399, 408, 410, 415, 428, 432, 434, 436, 444, 448, 450, 452, 460, 467, 471, 478, 482, 487, 504, 509, 517, 521, 523, 525, 531, 535, 537, 550, 554, 556, 558, 566, 573, 577, 579, 590, 601, 609, 610, 618, 639, 644, 646, 665, 671, 676, 695, 696, 708, 713, 719, 735, 740, 746, 759, 764, 770, 773, 783, 788, 794, 797, 807, 812, 818, 821, 831, 836, 842, 845, 864]"
10,4,"[776, 781, 786, 804]"
10th,2,"[350, 571]"
11,2,"[655, 817]"
11th,2,"[458, 846]"
12,5,"[800, 805, 810, 828, 860]"
12th,1,[539]
13,1,[841]
14,4,"[824, 829, 834, 848]"
1st,20,"[9, 31, 36, 48, 74, 80, 100, 127, 245, 250, 267, 288, 293, 316, 354, 369, 418, 622, 630, 724]"
2,10,"[50, 83, 86, 377, 469, 480, 625, 687, 705, 854]"
20,1,[599]
259,2,"[12, 19]"
260,2,"[53, 158]"
261,2,"[162, 176]"
262,1,[586]
2nd,3,"[10, 96, 263]"
3,19,"[196, 318, 364, 389, 406, 489, 492, 533, 541, 544, 548, 552, 575, 626, 629, 643, 718, 852, 856]"
30,1,[173]
3rd,4,"[81, 111, 284, 750]"
4,12,"[33, 37, 39, 105, 122, 134, 147, 654, 699, 706, 711, 730]"
4th,2,"[289, 347]"
5,15,"[297, 304, 329, 335, 430, 446, 519, 563, 634, 664, 668, 679, 681, 702, 745]"
5th,4,"[108, 311, 348, 774]"
6,9,"[21, 356, 420, 675, 691, 726, 731, 738, 756]"
6th,4,"[91, 308, 342, 686]"
7,3,"[616, 685, 769]"
7th,2,"[4, 798]"
8,6,"[5, 605, 752, 757, 762, 780]"
8th,2,"[93, 112]"
9,7,"[67, 102, 613, 637, 650, 658, 793]"
9th,3,"[124, 343, 822]"
_crochet,1,[164]
_d'oyley,1,[588]
alternately,1,[345]
another,1,[146]
begin,1,[189]
begun,1,[23]
bell,3,"[403, 494, 567]"
boar,1,[596]
border,1,[184]
carry,1,[137]
cast,2,"[387, 394]"
centre,1,[24]
ch,1,[638]
cha,1,[830]
chain,70,"[26, 45, 51, 73, 84, 103, 119, 123, 191, 197, 212, 236, 243, 254, 261, 272, 298, 302, 319, 323, 330, 336, 340, 357, 370, 384, 409, 421, 431, 435, 447, 451, 470, 481, 505, 513, 520, 524, 534, 538, 549, 553, 557, 564, 576, 580, 604, 614, 631, 640, 647, 651, 659, 669, 680, 682, 690, 700, 707, 727, 732, 753, 758, 777, 782, 801, 806, 825, 849, 859]"
circle,1,[863]
close,1,[150]
co.,2,"[170, 595]"
comes,1,[239]
completed,2,"[373, 427]"
consisting,1,[133]
consists,1,[66]
continue,1,[241]
continuing,1,[218]
cotton,8,"[138, 156, 172, 217, 363, 391, 397, 598]"
crochet,32,"[14, 160, 171, 178, 503, 581, 612, 620, 628, 657, 667, 678, 698, 710, 715, 721, 723, 737, 742, 748, 761, 766, 772, 785, 790, 796, 809, 814, 820, 833, 838, 844]"
cross,2,"[78, 89]"
d'oyley,1,[855]
d'oyleys,1,[582]
da,1,[151]
darned,1,[57]
divided,1,[41]
dle,1,[327]
doubl,1,[34]
double,45,"[40, 99, 107, 115, 140, 141, 144, 249, 266, 292, 307, 315, 325, 353, 359, 381, 437, 453, 526, 559, 611, 619, 656, 666, 677, 697, 709, 714, 720, 722, 736, 741, 747, 760, 765, 771, 784, 789, 795, 808, 813, 819, 832, 837, 843]"
drawing,3,"[203, 216, 396]"
drawn,1,[222]
e,2,"[35, 424]"
easily,1,[230]
eedle,1,[207]
equally,1,[228]
evans,2,"[169, 594]"
every,1,[118]
far,1,[374]
figures,1,[64]
first,1,[419]
following,5,"[193, 456, 485, 499, 529]"
follows,2,"[76, 501]"
forms,3,"[199, 223, 398]"
foundation,7,"[25, 44, 72, 190, 242, 252, 260]"
grounding,3,"[60, 65, 132]"
guipure,1,[187]
half,2,"[402, 425]"
head,1,[597]
illustratio,1,[174]
illustration,6,"[11, 18, 52, 129, 154, 157]"
imitates,1,[56]
imitation,1,[583]
inserting,2,"[46, 211]"
insertion,4,"[15, 16, 55, 161]"
ke,1,[287]
kept,1,[233]
kind,1,[181]
lace,3,"[179, 188, 585]"
lace_,1,[165]
last,6,"[198, 214, 632, 648, 660, 733]"
leaf,3,"[2, 400, 411]"
leave,3,"[376, 388, 508]"
leaves,2,"[135, 136]"
li,1,[286]
like,6,"[8, 126, 186, 346, 412, 570]"
long,16,"[28, 71, 204, 229, 248, 314, 360, 382, 635, 645, 712, 739, 763, 787, 811, 835]"
look,1,[185]
loop,6,"[205, 210, 220, 231, 636, 672]"
loops,3,"[378, 390, 393]"
lying,1,[149]
made,2,"[202, 497]"
make,3,"[603, 689, 858]"
makes,1,[183]
manner,1,[194]
material,2,"[166, 591]"
may,1,[232]
messrs.,2,"[167, 592]"
mid,1,[326]
middle,5,"[116, 438, 454, 527, 560]"
miss,2,"[104, 670]"
missing,3,"[85, 273, 303]"
mitating,1,[61]
must,1,[227]
n,2,"[175, 206]"
nd,1,[92]
nearest,1,[258]
needle,7,"[47, 209, 221, 234, 368, 379, 392]"
netting,2,"[58, 62]"
next,8,"[1, 328, 440, 463, 474, 512, 543, 562]"
no_,1,[589]
one,5,"[215, 401, 414, 500, 749]"
ound,1,[367]
particular,1,[180]
pattern,4,"[426, 496, 569, 600]"
patterns,3,"[131, 405, 853]"
point,2,"[0, 584]"
preceding,7,"[281, 331, 413, 442, 465, 476, 546]"
purl,36,"[182, 201, 225, 226, 240, 259, 270, 296, 300, 321, 334, 338, 407, 429, 433, 445, 449, 464, 468, 475, 479, 486, 488, 490, 493, 510, 518, 522, 532, 536, 542, 545, 551, 555, 574, 578]"
r,1,[366]
raised,1,[63]
repeat,27,"[3, 95, 110, 244, 262, 283, 310, 341, 615, 641, 652, 662, 673, 683, 701, 716, 728, 743, 754, 767, 778, 791, 802, 815, 826, 839, 850]"
rn,1,[152]
round,29,"[608, 624, 642, 649, 653, 661, 663, 674, 684, 694, 704, 717, 725, 729, 734, 744, 751, 755, 768, 775, 779, 792, 799, 803, 816, 823, 827, 840, 847]"
