--,1,10th,11,11th,12,12th,13th,14th,15th,16th,17th,19th,1st,2,20th,21st,22nd,254,255,256,257,258,260,2nd,3,30,31st,32nd,33rd,34th,3rd,4,40,4th,5,5th,6,60,6th,7,7th,8,8th,9th,_254,_258,ach,alternately,appear,ark,arm,back,begin,berlin,border,braid,cast,centre,ch,chain,chair,circle,co.,colour,colours,consist,consists,continue,cotton,couvrette,couvrettes,covered,crochet,crochet._,dark,darker,depend,divided,double,draw,e,either,end,entirely,evans,every,f,fastened,figures,finished,finishing,flat,followin,following,follows,form,formed,foundation,front,full,g,hang,ide,illustration,insert,inserting,insertion,insertions,insertions._,instead,join,last,leaf,leave,left,let,light,lightest,like,long,loop,made,make,manner,material,may,meet,messrs.,middle,miss,missing,must,nder,needle,next,noticing,one,open,ound,oundation,outer,part,pattern,perfectly,point,preceding,purl,r,raised,remains,repeat,repetition,repetitions,right,round,rounds,row,rows,scallop,scallops,seat,seen,separately,shall,shows,side,size,sizes,slip,spots,sti,stit,stitch,stitches,sufficiently,take,tassels,tches,throw,thus,time,times,together,treble,two,u,upon,upper,use,walter,way,wicker,wish,without,wool,woollen,work,worked,working
--,14,"[152, 165, 208, 313, 320, 366, 379, 382, 387, 438, 445, 675, 690, 722]"
1,59,"[2, 10, 18, 31, 38, 45, 49, 57, 65, 73, 77, 81, 85, 90, 94, 104, 131, 146, 215, 232, 247, 335, 339, 345, 392, 396, 433, 491, 493, 501, 517, 531, 568, 570, 574, 578, 587, 603, 630, 636, 650, 655, 661, 671, 723, 733, 741, 750, 762, 766, 777, 781, 797, 804, 811, 820, 824, 835, 842]"
10th,2,"[55, 356]"
11,1,[227]
11th,4,"[109, 360, 380, 446]"
12,1,[209]
12th,1,[371]
13th,1,[372]
14th,1,[373]
15th,1,[374]
16th,1,[375]
17th,1,[381]
19th,1,[383]
1st,13,"[204, 219, 235, 563, 624, 719, 726, 745, 764, 782, 806, 813, 838]"
2,24,"[16, 23, 24, 27, 34, 42, 63, 67, 70, 75, 79, 88, 92, 96, 102, 106, 116, 129, 133, 144, 148, 332, 419, 521]"
20th,2,"[389, 464]"
21st,1,[431]
22nd,1,[437]
254,3,"[164, 324, 370]"
255,2,"[312, 553]"
256,2,"[319, 479]"
257,3,"[151, 326, 365]"
258,2,"[689, 706]"
260,1,[674]
2nd,5,"[211, 583, 614, 739, 780]"
3,16,"[6, 43, 51, 213, 343, 353, 557, 576, 607, 615, 638, 644, 662, 732, 737, 748]"
30,1,[685]
31st,1,[439]
32nd,1,[448]
33rd,1,[449]
34th,4,"[458, 560, 572, 594]"
3rd,4,"[243, 605, 760, 822]"
4,4,"[47, 245, 255, 259]"
40,1,[686]
4th,7,"[12, 59, 257, 278, 294, 626, 802]"
5,10,"[125, 499, 529, 729, 746, 757, 793, 807, 815, 830]"
5th,3,"[264, 359, 818]"
6,3,"[197, 770, 783]"
60,1,[687]
6th,3,"[280, 363, 833]"
7,2,"[796, 840]"
7th,5,"[330, 378, 386, 444, 455]"
8,2,"[710, 809]"
8th,3,"[341, 456, 799]"
9th,3,"[8, 351, 388]"
_254,1,[150]
_258,1,[673]
ach,1,[112]
alternately,3,"[124, 391, 474]"
appear,1,[298]
ark,1,[515]
arm,6,"[154, 167, 173, 315, 322, 368]"
back,2,"[172, 292]"
begin,2,"[192, 266]"
berlin,2,"[159, 181]"
border,6,"[317, 321, 468, 482, 551, 565]"
braid,1,[188]
cast,4,"[403, 646, 666, 787]"
centre,1,[194]
ch,1,[753]
chain,48,"[7, 44, 48, 52, 64, 68, 76, 80, 84, 89, 93, 97, 103, 107, 126, 130, 134, 135, 145, 149, 196, 214, 236, 246, 256, 276, 305, 333, 344, 470, 500, 530, 545, 604, 609, 717, 730, 747, 749, 758, 771, 784, 794, 808, 810, 816, 831, 841]"
chair,7,"[155, 168, 174, 186, 316, 323, 369]"
circle,1,[202]
co.,1,[682]
colour,2,"[191, 405]"
colours,2,"[162, 184]"
consist,1,[441]
consists,3,"[285, 469, 556]"
continue,1,[651]
cotton,2,"[684, 696]"
couvrette,5,"[193, 309, 367, 427, 562]"
couvrettes,1,[178]
covered,3,"[156, 169, 175]"
crochet,9,"[170, 180, 270, 418, 514, 676, 683, 691, 695]"
crochet._,1,[157]
dark,8,"[398, 411, 413, 475, 534, 566, 628, 668]"
darker,1,[268]
depend,1,[698]
divided,1,[123]
double,38,"[3, 11, 39, 58, 74, 82, 95, 117, 143, 210, 216, 248, 260, 287, 340, 346, 354, 434, 442, 492, 502, 518, 522, 532, 569, 575, 579, 598, 608, 616, 631, 632, 656, 734, 805, 812, 825, 826]"
draw,1,[539]
e,1,[111]
either,1,[120]
end,3,"[229, 241, 253]"
entirely,1,[286]
evans,1,[681]
every,2,"[399, 435]"
f,1,[715]
fastened,1,[185]
figures,1,[141]
finished,1,[310]
finishing,1,[189]
flat,1,[430]
followin,1,[28]
following,2,"[5, 206]"
follows,2,"[721, 769]"
form,1,[303]
formed,1,[128]
foundation,2,"[195, 728]"
front,1,[275]
full,2,"[328, 486]"
g,1,[29]
hang,1,[510]
ide,1,[301]
illustration,8,"[163, 311, 318, 325, 364, 478, 688, 705]"
insert,1,[617]
inserting,4,"[221, 273, 290, 589]"
insertion,2,"[692, 703]"
insertions,1,[693]
insertions._,1,[677]
instead,1,[550]
join,2,"[138, 201]"
last,2,"[643, 667]"
leaf,3,"[767, 821, 839]"
leave,1,[524]
left,2,"[775, 791]"
let,1,[509]
light,12,"[283, 394, 408, 416, 476, 489, 494, 504, 548, 585, 647, 653]"
lightest,1,[199]
like,6,"[358, 362, 377, 385, 454, 463]"
long,6,"[19, 25, 32, 708, 714, 778]"
loop,3,"[538, 774, 790]"
made,1,[451]
make,2,"[702, 712]"
manner,1,[207]
material,2,"[158, 678]"
may,1,[554]
meet,1,[119]
messrs.,1,[679]
middle,5,"[4, 307, 622, 744, 754]"
miss,7,"[69, 635, 649, 660, 670, 731, 795]"
missing,1,[334]
must,2,"[118, 402]"
nder,1,[72]
needle,9,"[222, 274, 291, 508, 537, 590, 618, 776, 792]"
next,20,"[21, 36, 40, 83, 86, 217, 249, 347, 406, 503, 533, 544, 580, 591, 640, 657, 664, 735, 756, 814]"
noticing,1,[773]
