'oyleys,--,1,10,10th,11,12,12th,13,14,14th,15,15th,16,16th,17,17th,18,1st,2,20,264,265,29,2nd,3,3._,30,36,3rd,4,4._,4th,5,5th,6,7,7th,8,9,9th,_d'oyley,best,better,ble,blue,boar,c,centre,cha,chai,chain,circle,co.,correspond,cotton,croch,crochet,cut,d'oyley,done,dou,double,e,ead,edging,end,engraving,et,evans,every,f,firmly,following,former,h,hain,head,illustration,instead,join,joining,judgment,last,leaf,leave,leaves,long,loop,loops,make,manner,material,messrs.,miss,much,must,n,necessary,next,number,ork,ouble,oundation,paper,pattern,patterns,perfect,pieces,place,point,removing,repeat,repeated,required,round,row,seen,sew,side,sides,single,space,stitch,stitches,successive,sufficient,tack,takes,th,ther,think,times,toge,together,treble,turn,two,uble,unite,w,walter,way,work,worker,write
'oyleys,1,[767]
--,19,"[45, 85, 102, 114, 125, 130, 133, 138, 141, 146, 153, 170, 561, 628, 820, 824, 876, 928, 1000]"
1,97,"[2, 16, 34, 48, 52, 67, 73, 96, 117, 171, 181, 190, 200, 208, 218, 226, 234, 243, 251, 260, 270, 280, 290, 300, 311, 320, 328, 337, 346, 356, 364, 374, 383, 391, 401, 410, 420, 431, 441, 449, 459, 469, 478, 489, 500, 510, 520, 528, 536, 546, 584, 588, 595, 598, 601, 609, 614, 618, 624, 630, 636, 643, 646, 665, 672, 684, 687, 690, 695, 713, 726, 730, 736, 741, 746, 749, 844, 847, 855, 858, 863, 868, 875, 883, 891, 894, 917, 923, 935, 947, 963, 975, 977, 987, 993, 1011, 1018]"
10,9,"[101, 139, 198, 354, 508, 552, 602, 623, 639]"
10th,3,"[239, 316, 437]"
11,6,"[113, 142, 457, 464, 606, 870]"
12,7,"[124, 232, 258, 326, 389, 544, 634]"
12th,1,[485]
13,1,[129]
14,8,"[132, 349, 359, 362, 539, 549, 689, 759]"
14th,1,[286]
15,1,[137]
15th,2,"[214, 333]"
16,2,"[140, 278]"
16th,1,[370]
17,1,[145]
17th,2,"[352, 542]"
18,1,[152]
1st,32,"[5, 46, 57, 88, 105, 108, 120, 127, 135, 143, 148, 155, 174, 193, 262, 313, 348, 394, 413, 452, 483, 492, 538, 558, 578, 607, 675, 723, 768, 813, 840, 850]"
2,34,"[94, 98, 104, 147, 150, 157, 575, 577, 580, 591, 604, 611, 622, 654, 655, 663, 728, 733, 739, 744, 839, 842, 852, 860, 896, 927, 937, 942, 953, 956, 983, 996, 1007, 1009]"
20,3,"[573, 835, 931]"
264,2,"[560, 819]"
265,1,[823]
29,1,[885]
2nd,18,"[65, 196, 221, 228, 256, 377, 385, 416, 427, 455, 495, 523, 530, 555, 612, 861, 866, 871]"
3,40,"[32, 58, 70, 81, 86, 110, 185, 194, 237, 241, 314, 341, 405, 414, 424, 435, 453, 473, 481, 493, 513, 524, 531, 582, 616, 659, 706, 708, 822, 837, 843, 865, 912, 920, 951, 958, 980, 999, 1013, 1016]"
3._,1,[563]
30,1,[879]
36,1,[1003]
3rd,7,"[0, 76, 282, 293, 302, 516, 678]"
4,28,"[29, 39, 107, 119, 126, 175, 188, 203, 216, 224, 246, 254, 323, 331, 395, 408, 462, 505, 518, 526, 586, 660, 671, 676, 846, 902, 909, 1022]"
4._,1,[826]
4th,3,"[25, 210, 366]"
5,21,"[78, 90, 131, 211, 222, 229, 283, 294, 303, 367, 378, 386, 418, 590, 680, 693, 710, 716, 755, 849, 971]"
5th,1,[512]
6,13,"[56, 93, 154, 266, 372, 381, 429, 447, 593, 702, 718, 752, 854]"
7,11,"[10, 14, 27, 50, 444, 487, 498, 597, 758, 760, 762]"
7th,1,[60]
8,14,"[44, 134, 206, 288, 318, 335, 399, 439, 476, 534, 600, 856, 899, 904]"
9,10,"[84, 179, 249, 268, 298, 308, 344, 467, 620, 907]"
9th,2,"[177, 397]"
_d'oyley,2,"[562, 825]"
best,1,[800]
better,1,[776]
ble,1,[54]
blue,1,[804]
boar,2,"[569, 832]"
c,2,"[425, 734]"
centre,1,[480]
cha,1,[238]
chai,1,[309]
chain,108,"[11, 15, 28, 33, 49, 63, 71, 82, 176, 180, 186, 189, 195, 199, 204, 207, 212, 217, 223, 225, 230, 233, 242, 247, 250, 255, 259, 269, 279, 284, 289, 295, 299, 304, 315, 319, 324, 327, 332, 336, 342, 345, 350, 355, 360, 363, 368, 373, 379, 382, 387, 390, 396, 400, 406, 409, 415, 419, 430, 436, 440, 445, 448, 454, 458, 463, 468, 474, 477, 482, 488, 494, 499, 506, 509, 514, 519, 525, 527, 532, 535, 540, 545, 550, 553, 632, 661, 677, 681, 688, 694, 707, 709, 719, 729, 740, 745, 753, 793, 878, 913, 921, 930, 943, 954, 972, 1002, 1012]"
circle,2,"[705, 798]"
co.,2,"[568, 831]"
correspond,4,"[24, 64, 652, 916]"
cotton,2,"[572, 834]"
croch,1,[18]
crochet,60,"[4, 7, 31, 38, 41, 55, 69, 80, 173, 183, 192, 202, 220, 245, 253, 264, 275, 292, 307, 322, 330, 339, 376, 393, 403, 412, 422, 433, 443, 451, 461, 471, 491, 502, 522, 638, 645, 648, 667, 674, 692, 697, 700, 704, 715, 721, 725, 751, 764, 791, 887, 893, 911, 919, 939, 960, 965, 979, 989, 1020]"
cut,1,[802]
d'oyley,28,"[89, 100, 109, 112, 121, 123, 128, 136, 144, 149, 156, 559, 579, 583, 587, 594, 603, 608, 613, 617, 621, 821, 841, 851, 857, 862, 867, 872]"
done,1,[160]
dou,1,[53]
double,63,"[3, 6, 17, 20, 30, 37, 40, 68, 79, 172, 182, 191, 201, 219, 244, 252, 263, 291, 306, 321, 329, 338, 375, 392, 402, 411, 421, 432, 442, 450, 460, 470, 490, 501, 521, 637, 644, 647, 666, 673, 691, 696, 699, 703, 714, 720, 724, 731, 742, 750, 784, 790, 886, 892, 897, 905, 918, 938, 959, 964, 978, 988, 1019]"
e,1,[504]
ead,1,[571]
edging,5,"[166, 557, 765, 770, 815]"
end,1,[97]
engraving,2,"[781, 807]"
et,1,[19]
evans,2,"[567, 830]"
every,1,[966]
f,1,[985]
firmly,1,[162]
following,3,"[168, 626, 873]"
former,1,[766]
h,1,[570]
hain,2,"[426, 735]"
head,1,[833]
illustration,1,[818]
instead,1,[92]
join,6,"[265, 285, 351, 369, 515, 541]"
joining,1,[213]
judgment,1,[778]
last,13,"[8, 36, 184, 231, 236, 340, 380, 388, 404, 423, 434, 472, 698]"
leaf,16,"[118, 187, 197, 205, 248, 257, 325, 343, 407, 417, 428, 456, 484, 496, 507, 864]"
leave,1,[777]
leaves,2,"[91, 106]"
long,41,"[21, 209, 227, 235, 261, 271, 276, 281, 296, 301, 312, 347, 357, 365, 384, 479, 511, 529, 537, 547, 640, 656, 711, 717, 727, 732, 738, 743, 747, 761, 785, 786, 895, 898, 901, 906, 908, 948, 981, 1010, 1014]"
loop,8,"[74, 657, 884, 924, 936, 967, 976, 994]"
loops,10,"[642, 664, 889, 903, 941, 946, 957, 962, 984, 1008]"
make,5,"[631, 797, 877, 929, 1001]"
manner,2,"[169, 627]"
material,2,"[564, 827]"
messrs.,2,"[565, 828]"
miss,11,"[72, 662, 882, 922, 934, 944, 955, 974, 982, 992, 1006]"
much,1,[772]
must,1,[795]
n,2,"[87, 310]"
necessary,1,[782]
next,6,"[272, 358, 548, 668, 949, 969]"
number,2,"[792, 998]"
ork,1,[116]
ouble,1,[910]
oundation,1,[986]
paper,3,"[805, 811, 817]"
pattern,36,"[178, 215, 240, 267, 287, 317, 334, 353, 361, 371, 398, 438, 446, 466, 475, 486, 497, 517, 533, 543, 551, 585, 589, 596, 599, 610, 615, 619, 625, 685, 838, 845, 848, 859, 869, 874]"
patterns,6,"[576, 581, 592, 605, 853, 997]"
perfect,1,[799]
pieces,1,[159]
place,3,"[42, 748, 806]"
point,3,"[13, 649, 991]"
removing,1,[816]
repeat,11,"[12, 43, 75, 83, 669, 682, 754, 925, 950, 990, 1015]"
repeated,1,[122]
required,4,"[99, 111, 151, 158]"
round,10,"[167, 629, 653, 658, 670, 679, 769, 803, 926, 970]"
row,8,"[1, 9, 26, 47, 66, 77, 556, 814]"
seen,1,[780]
sew,2,"[161, 808]"
