--,1,10,11,12,13,14,15,16,18th,19,1st,2,20,20th,21,24,262,28,2nd,3,30,3rd,4,4th,5,5th,6,6th,7,7th,8,9,beginning,c,centre,ch,chain,circle,correspond,corresponding,cotton,crochet,d'oyley,double,end,epeat,every,first,hain,half,illustration,instead,int,join,joini,joining,last,leaf,leave,leaves,long,loop,loops,make,manner,miss,next,ng,oint,one,ork,p,pattern,patterns,place,point,points,r,remaining,repea,repeat,repeated,round,row,side,sides,single,size,space,stem,stitch,stitches,successive,t.,th,tie,times,top,turn,twice,uble,unite,w,way,without,work,working
--,14,"[96, 111, 121, 125, 201, 278, 332, 418, 468, 539, 663, 710, 771, 845]"
1,60,"[22, 72, 123, 134, 150, 175, 207, 226, 233, 263, 268, 299, 304, 313, 318, 321, 340, 350, 360, 370, 425, 430, 437, 444, 449, 454, 475, 481, 488, 499, 517, 526, 547, 560, 585, 588, 637, 669, 680, 686, 696, 712, 723, 732, 739, 744, 748, 759, 765, 786, 791, 799, 808, 833, 836, 875, 879, 887, 897, 921]"
10,3,"[281, 417, 509]"
11,6,"[358, 374, 382, 393, 467, 848]"
12,2,"[538, 882]"
13,2,"[662, 715]"
14,1,[709]
15,2,"[128, 770]"
16,1,[844]
18th,1,[557]
19,1,[774]
1st,9,"[33, 114, 161, 168, 190, 195, 333, 591, 828]"
2,43,"[2, 8, 13, 18, 103, 213, 214, 220, 239, 248, 252, 256, 290, 291, 301, 311, 411, 433, 434, 446, 457, 480, 494, 519, 553, 563, 567, 571, 575, 579, 583, 601, 608, 621, 628, 722, 784, 811, 853, 858, 861, 903, 906]"
20,2,"[208, 476]"
20th,1,[872]
21,2,"[542, 554]"
24,3,"[427, 869, 901]"
262,1,[120]
28,1,[285]
2nd,4,"[30, 34, 172, 356]"
3,52,"[4, 16, 35, 38, 42, 51, 63, 70, 78, 91, 93, 97, 106, 113, 116, 163, 173, 180, 187, 225, 298, 309, 344, 348, 367, 377, 391, 443, 487, 532, 565, 581, 594, 599, 615, 633, 635, 644, 647, 678, 683, 729, 738, 749, 762, 777, 781, 813, 816, 877, 885, 889]"
30,2,"[337, 548]"
3rd,5,"[49, 166, 186, 221, 403]"
4,17,"[11, 95, 99, 108, 232, 308, 453, 498, 596, 610, 617, 630, 719, 758, 837, 912, 917]"
4th,4,"[45, 53, 69, 183]"
5,23,"[110, 143, 236, 243, 244, 250, 261, 271, 317, 325, 408, 461, 508, 529, 569, 577, 606, 626, 694, 789, 803, 824, 827]"
5th,2,"[66, 701]"
6,15,"[102, 124, 139, 141, 145, 260, 266, 491, 502, 516, 603, 623, 726, 734, 754]"
6th,3,"[81, 88, 343]"
7,21,"[25, 60, 76, 137, 148, 153, 178, 200, 385, 471, 504, 512, 525, 573, 613, 742, 751, 797, 831, 856, 908]"
7th,2,"[156, 731]"
8,2,"[277, 421]"
9,8,"[331, 380, 649, 665, 705, 821, 829, 839]"
beginning,2,"[28, 194]"
c,1,[375]
centre,3,"[365, 703, 747]"
ch,1,[470]
chain,93,"[5, 12, 17, 26, 36, 43, 52, 61, 64, 71, 77, 79, 86, 127, 144, 154, 164, 174, 179, 181, 188, 237, 245, 251, 257, 262, 272, 280, 302, 312, 314, 322, 326, 336, 345, 359, 364, 371, 383, 388, 394, 412, 420, 431, 438, 447, 458, 462, 492, 503, 505, 513, 530, 541, 555, 566, 570, 574, 578, 582, 595, 600, 602, 607, 609, 614, 616, 622, 627, 629, 634, 636, 666, 684, 695, 714, 743, 752, 763, 773, 790, 798, 804, 822, 830, 832, 840, 847, 868, 878, 886, 890, 902]"
circle,8,"[133, 288, 426, 478, 551, 559, 655, 874]"
correspond,1,[402]
corresponding,1,[159]
cotton,1,[204]
crochet,60,"[1, 24, 58, 74, 136, 152, 177, 193, 210, 216, 228, 235, 265, 270, 293, 320, 362, 379, 396, 410, 436, 456, 483, 490, 501, 511, 528, 550, 562, 587, 590, 593, 598, 605, 612, 619, 625, 632, 639, 642, 646, 651, 671, 682, 698, 725, 741, 746, 761, 788, 793, 801, 810, 826, 835, 855, 860, 863, 899, 905]"
d'oyley,13,"[94, 109, 118, 122, 199, 276, 330, 416, 466, 537, 661, 708, 843]"
double,63,"[0, 9, 14, 23, 57, 73, 135, 140, 146, 151, 176, 192, 209, 215, 227, 234, 264, 269, 286, 292, 319, 361, 378, 395, 409, 428, 435, 455, 482, 489, 500, 527, 549, 561, 586, 592, 597, 604, 611, 618, 624, 631, 641, 670, 681, 697, 724, 740, 745, 760, 782, 787, 792, 800, 809, 814, 825, 834, 854, 859, 862, 904, 913]"
end,4,"[354, 390, 643, 699]"
epeat,1,[756]
every,2,"[229, 484]"
first,1,[820]
hain,1,[376]
half,1,[400]
illustration,1,[119]
instead,1,[101]
int,1,[794]
join,7,"[32, 68, 84, 185, 189, 556, 895]"
joini,1,[170]
joining,2,"[48, 155]"
last,12,"[59, 246, 295, 323, 439, 459, 702, 750, 819, 865, 896, 900]"
leaf,10,"[46, 54, 67, 82, 89, 162, 167, 184, 196, 907]"
leave,1,[100]
leaves,2,"[39, 115]"
long,48,"[3, 10, 15, 19, 138, 142, 147, 149, 157, 249, 253, 267, 287, 294, 300, 310, 341, 351, 368, 381, 397, 406, 429, 445, 477, 518, 520, 564, 568, 572, 576, 580, 584, 778, 783, 785, 812, 815, 817, 857, 876, 880, 888, 892, 909, 914, 918, 922]"
loop,13,"[222, 230, 305, 450, 485, 522, 672, 687, 693, 766, 796, 864, 920]"
loops,14,"[218, 240, 349, 392, 495, 533, 653, 728, 735, 780, 807, 852, 911, 916]"
make,15,"[41, 50, 62, 85, 126, 279, 335, 419, 469, 540, 664, 713, 772, 846, 867]"
manner,1,[40]
miss,9,"[238, 303, 347, 448, 493, 531, 685, 753, 764]"
next,7,"[75, 352, 521, 733, 795, 919, 923]"
ng,1,[171]
oint,1,[690]
one,1,[366]
ork,1,[132]
p,1,[689]
pattern,13,"[31, 197, 274, 328, 401, 414, 464, 535, 659, 706, 768, 841, 924]"
patterns,2,"[92, 107]"
place,4,"[255, 620, 802, 893]"
point,1,[704]
points,1,[679]
r,1,[755]
remaining,1,[838]
repea,1,[718]
repeat,29,"[6, 20, 27, 223, 241, 258, 273, 306, 315, 327, 353, 384, 413, 441, 451, 463, 496, 506, 514, 523, 534, 656, 673, 736, 767, 823, 866, 881, 894]"
repeated,11,"[117, 198, 275, 329, 415, 465, 536, 660, 707, 769, 842]"
round,37,"[203, 206, 211, 212, 224, 231, 242, 247, 259, 284, 289, 296, 297, 307, 316, 324, 424, 432, 440, 442, 452, 460, 474, 479, 486, 497, 507, 515, 524, 546, 552, 654, 676, 711, 721, 737, 757]"
row,4,"[334, 355, 357, 404]"
side,2,"[104, 363]"
sides,1,[677]
single,5,"[589, 638, 645, 650, 898]"
size,1,[205]
space,1,[405]
stem,1,[648]
stitch,8,"[56, 87, 158, 160, 191, 342, 369, 398]"
stitches,17,"[129, 254, 282, 338, 346, 389, 407, 422, 472, 543, 640, 667, 716, 730, 775, 849, 870]"
successive,8,"[217, 652, 727, 779, 806, 851, 910, 915]"
t.,1,[545]
th,1,[658]
tie,1,[202]
times,3,"[386, 720, 883]"
top,1,[688]
turn,2,"[372, 668]"
twice,5,"[7, 21, 657, 674, 692]"
uble,1,[510]
unite,10,"[130, 283, 423, 473, 544, 700, 717, 776, 818, 871]"
w,1,[131]
way,1,[83]
without,2,"[47, 169]"
work,24,"[37, 44, 55, 65, 80, 90, 98, 105, 112, 165, 182, 219, 339, 373, 387, 399, 558, 675, 691, 805, 850, 873, 884, 891]"
working,1,[29]
