&,'',--,1,10,12,14,16,18,2,20,200,22,24,26,27,30,36,4,40,500,501,502,503,504,505,506,6,8,_,_500,_fillet_,_intelle,``,aced,across,admirable,admit,along,alphabet,alternate,ancient,another,apart,appears,arranged,articles,attain,attractions,back,backwards,bar,bars,begin,beginners,beginning,better,bl,bought,braid,bruxelles,c.,called,cards,care,careful,cartisane_,ce,celebrated,centre,century,clearly,close,closely,co.,coarse,coarser,coarsest,colour,coloured,completed,completes,conne,consists,continue,convoluted,cord,corner,corners,correspond,cost,cotton,couvrettes,covered,covers,crochet,cted,cushion,cushions,d'alencon,d'art,d'esprit,darn,darning,de,decrease,decreased,derby,derives,design,designed,devoted,discontinued,dotted,double,ease,easier,easily,edge,edged,eider,eighth,either,elaborate,elegant,embroidered,employed,en,end,endpapers,england,enlarged,es,evans,even,every,examination,excel,execution,explain,eyes,facilitated,fall,fancy,far,favourite,feston,fine,finely,finer,finest,first,follow,formed,forming,forms,forwards,found,foundation,foundations,four,frame,fresh,g,gold,greatly,grecque,groundwork,guipure,half,handkerchiefs,hank,hole,holes,hours,illustration,imitation,important,inch,increase,increased,ing,initials,instance,instructions,intersected,intersecting,intervening,introduced,joined,keep,kind,knotted,l,la,lace,laced,laces,lacing,ladies,laid,large,last,le,learner,least,length,less,letter,letters,linen,lo,look,looks,loops,loose,made,make,many,mark,marking,mastered,material,materials,may,measuring,mecklenburg,mesh,meshes,messrs.,misapplied,mode,modern,mounted,mounting,much,name,narrow,nce,nearer,needles,net,netted,netting,network,next,no.10,nos,number,numbers,one,operation,opposite,ove,overcast,particularly,pass,passing,pattern,patterns,perfect,placed,plain,pocket,point,possible,practise,pretty,pricked,principal,process,purpose,quarters,quickness,quilted,quilts,r,raised,ready,regularity,remain,repeat,replaced,reprise,required,resembles,ribbon,round,row,rows,ruche,run,runs,sachet,satin,say,see,seen,series,shade,show,shown,shows,si,silk,silver,six,sixteenth,siz,sizes,skilful,small,sofa,sold,soon,sorrento,speed,spools,square,squares,stars,stitch,stitches,substance,succession,suited,table,taken,taking,tatting,tha,thin,thirty,thread,threads,three,thus,tied,tightly,till,time,together,toile,toilet,trimmimgs,tter,turn,twelve,twisted,two,uipure,unt,upon,use,used,useful,variety,various,vellum,walter,wasted,well,wh,wheels,wire,wish,without,word,words,work,worked,workers,working,yards,|,|caps,|collars,|couvrettes,|cravats,|d'oyleys,|dress,|edgings,|handkerchiefs,|insertions
&,1,[51]
'',1,[463]
--,58,"[14, 20, 26, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 121, 122, 123, 124, 125, 126, 127, 128, 129, 196, 197, 198, 199, 200, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 211, 212, 214, 215, 216, 217, 218, 219, 220, 221, 222, 572, 713, 757]"
1,2,"[499, 519]"
10,2,"[158, 668]"
12,3,"[159, 185, 632]"
14,1,[170]
16,1,[633]
18,1,[151]
2,7,"[145, 481, 496, 524, 528, 627, 635]"
20,2,"[634, 638]"
200,1,[622]
22,1,[164]
24,1,[191]
26,1,[511]
27,1,[516]
30,6,"[139, 152, 165, 171, 176, 192]"
36,3,"[43, 133, 177]"
4,3,"[146, 628, 745]"
40,1,[178]
500,1,[13]
501,2,"[19, 86]"
502,1,[25]
503,3,"[571, 681, 705]"
504,2,"[712, 744]"
505,1,[756]
506,1,[706]
6,5,"[147, 183, 629, 670, 746]"
8,4,"[157, 184, 630, 748]"
_,1,[32]
_500,1,[24]
_fillet_,2,"[447, 462]"
_intelle,1,[287]
``,10,"[134, 135, 140, 141, 153, 166, 172, 188, 193, 461]"
aced,1,[563]
across,1,[739]
admirable,1,[344]
admit,1,[431]
along,1,[738]
alphabet,2,"[27, 44]"
alternate,1,[375]
ancient,4,"[253, 312, 407, 617]"
another,3,"[2, 308, 310]"
apart,1,[71]
appears,1,[374]
arranged,1,[371]
articles,1,[98]
attain,1,[584]
attractions,1,[392]
back,1,[62]
backwards,1,[493]
bar,1,[700]
bars,1,[85]
begin,2,"[495, 679]"
beginners,1,[11]
beginning,1,[556]
better,1,[612]
bl,1,[427]
bought,1,[474]
braid,1,[235]
bruxelles,2,"[80, 658]"
c.,1,[52]
called,3,"[273, 286, 295]"
cards,1,[240]
care,1,[732]
careful,1,[702]
cartisane_,1,[288]
ce,1,[226]
celebrated,1,[406]
centre,1,[698]
century,1,[291]
clearly,2,"[676, 708]"
close,1,[726]
closely,1,[614]
co.,2,"[40, 609]"
coarse,3,"[181, 449, 480]"
coarser,1,[341]
coarsest,1,[637]
colour,1,[613]
coloured,1,[367]
completed,1,[536]
completes,1,[386]
conne,1,[353]
consists,1,[671]
continue,1,[514]
convoluted,1,[75]
cord,4,"[36, 53, 61, 227]"
corner,1,[554]
corners,2,"[365, 551]"
correspond,1,[385]
cost,1,[473]
cotton,3,"[281, 543, 665]"
couvrettes,1,[345]
covered,3,"[259, 379, 439]"
covers,1,[346]
crochet,1,[357]
cted,1,[354]
cushion,1,[373]
cushions,1,[339]
d'alencon,1,[82]
d'art,10,"[247, 252, 314, 320, 394, 404, 575, 581, 644, 731]"
d'esprit,3,"[646, 662, 715]"
darn,1,[568]
darning,1,[722]
de,8,"[79, 648, 651, 654, 657, 717, 759, 762]"
decrease,1,[518]
decreased,1,[548]
derby,1,[610]
derives,1,[266]
design,1,[316]
designed,1,[400]
devoted,1,[592]
discontinued,1,[280]
dotted,1,[83]
double,1,[544]
ease,2,"[397, 600]"
easier,1,[567]
easily,2,"[7, 470]"
edge,1,[545]
edged,2,"[234, 360]"
eider,1,[347]
eighth,1,[69]
either,1,[448]
elaborate,1,[597]
elegant,2,"[350, 465]"
embroidered,1,[467]
employed,1,[426]
en,1,[327]
end,2,"[500, 520]"
endpapers,1,[31]
england,1,[289]
enlarged,2,"[23, 90]"
es,1,[458]
evans,2,"[39, 608]"
even,1,[747]
every,3,"[315, 501, 521]"
examination,1,[703]
excel,1,[578]
execution,1,[588]
explain,1,[707]
eyes,1,[430]
facilitated,1,[560]
fall,1,[383]
fancy,1,[5]
far,1,[566]
favourite,1,[9]
feston,2,"[652, 763]"
fine,5,"[189, 450, 482, 725, 753]"
finely,2,"[74, 335]"
finer,1,[664]
finest,1,[639]
first,2,"[593, 695]"
follow,1,[626]
formed,1,[546]
forming,1,[533]
forms,1,[724]
forwards,1,[494]
found,2,"[321, 611]"
foundation,4,"[460, 537, 666, 669]"
foundations,1,[752]
four,1,[550]
frame,5,"[437, 540, 555, 573, 688]"
fresh,2,"[398, 534]"
g,1,[250]
gold,1,[260]
greatly,2,"[89, 559]"
grecque,1,[1]
groundwork,1,[727]
guipure,19,"[246, 254, 265, 284, 296, 301, 313, 319, 351, 355, 362, 393, 403, 408, 574, 580, 618, 643, 730]"
half,1,[692]
handkerchiefs,1,[48]
hank,2,"[231, 245]"
hole,3,"[60, 63, 66]"
holes,3,"[68, 508, 512]"
hours,1,[591]
illustration,7,"[12, 18, 570, 677, 711, 743, 755]"
imitation,1,[405]
important,1,[391]
inch,2,"[70, 491]"
increase,2,"[498, 515]"
increased,1,[547]
ing,1,[636]
initials,1,[49]
instance,1,[594]
instructions,1,[248]
intersected,1,[412]
intersecting,1,[694]
intervening,1,[699]
introduced,1,[318]
joined,1,[364]
keep,1,[734]
kind,1,[303]
knotted,1,[530]
l,1,[562]
la,1,[225]
lace,15,"[17, 29, 35, 101, 233, 255, 285, 302, 317, 356, 363, 378, 384, 409, 619]"
laced,1,[538]
laces,1,[294]
lacing,2,"[542, 557]"
ladies,2,"[469, 576]"
laid,1,[54]
large,1,[429]
last,1,[527]
le,1,[21]
learner,1,[678]
least,1,[390]
length,1,[685]
less,1,[472]
letter,2,"[15, 88]"
letters,1,[76]
linen,4,"[242, 417, 432, 719]"
lo,1,[631]
look,1,[336]
looks,1,[323]
loops,4,"[674, 684, 690, 697]"
loose,1,[569]
made,3,"[256, 468, 476]"
make,1,[343]
many,1,[750]
mark,1,[680]
marking,1,[46]
mastered,1,[603]
material,1,[282]
materials,2,"[33, 434]"
may,1,[359]
measuring,1,[488]
mecklenburg,5,"[41, 419, 444, 451, 604]"
mesh,1,[487]
meshes,1,[455]
messrs.,2,"[37, 606]"
misapplied,1,[298]
mode,1,[92]
modern,1,[293]
mounted,1,[328]
mounting,1,[388]
much,2,"[471, 728]"
name,2,"[267, 275]"
narrow,1,[361]
nce,1,[300]
nearer,1,[72]
needles,2,"[425, 454]"
net,1,[446]
netted,2,"[459, 751]"
netting,5,"[453, 479, 552, 561, 701]"
network,1,[416]
next,1,[65]
no.10,1,[483]
nos,1,[704]
number,3,"[507, 735, 740]"
numbers,1,[624]
one,5,"[304, 389, 436, 442, 504]"
operation,1,[558]
opposite,1,[691]
ove,1,[485]
overcast,1,[766]
particularly,1,[324]
pass,1,[64]
passing,1,[58]
pattern,3,"[56, 73, 598]"
patterns,4,"[249, 399, 413, 754]"
perfect,1,[585]
