&,'',--,0,1,10,12,12th,13th,14th,15th,16th,17th,18,18th,1st,2,20,2nd,3,30,3r,3rd,4,4th,5,5th,6,60,6th,7,7th,8,80,8th,9th,_joini,_lace,_pine,_tatted,``,another,attached,beautiful,beginning,boar,c,c.,care,cent,centre,chain,circl,circle,"circle,1",circles,clearly,close,co.,coarse,collar,colours,commence,commencement,commencing,complete,completes,composed,cotton,crochet,cut,described,designs,different,double,downward,downwards,dra,draw,e,edging,end,evans,execute,fill,filled,fine,finer,fingers,first,follows,forms,foundation,hand,head,heading,held,hook,illustration,imitate,inch,inches,indeed,ine,insertion,insertion._,instead,ircle,join,joined,lace,large,last,leaving,left,loop,materials,messrs.,next,ng,one,orked,oval,ovals,p,part,parts,pass,pattern,patterns,pin,pine,pines,place,point,preceding,purl,"purl,1",purls,putting,rd,reel,repeat,required,right,round,second,shown,shuttle,shuttles,sixth,size,sized,small,sometimes,star,stitches,straight,taking,tatted,tatting,tatting._,third,thread,tightly,times,turn,twice,unable,upon,upper,use,used,using,usual,various,w,walter,without,work,work._,worked,working
&,1,[50]
'',1,[25]
--,11,"[12, 15, 101, 107, 135, 606, 629, 666, 726, 764, 789]"
0,1,[805]
1,57,"[100, 140, 157, 159, 176, 183, 185, 205, 207, 211, 226, 228, 243, 250, 252, 256, 278, 280, 297, 304, 306, 328, 330, 353, 355, 361, 384, 386, 415, 439, 441, 465, 467, 483, 493, 502, 519, 521, 538, 540, 546, 548, 554, 561, 563, 573, 581, 583, 587, 639, 646, 703, 720, 757, 804, 808, 822]"
10,9,"[677, 700, 705, 732, 738, 775, 810, 820, 824]"
12,1,[621]
12th,1,[462]
13th,2,"[454, 517]"
14th,1,[479]
15th,2,"[510, 536]"
16th,2,"[529, 559]"
17th,2,"[552, 578]"
18,2,"[688, 786]"
18th,1,[571]
1st,11,"[136, 155, 261, 272, 295, 302, 488, 490, 689, 736, 793]"
2,30,"[55, 81, 138, 144, 163, 169, 189, 195, 217, 224, 236, 263, 276, 284, 334, 346, 363, 376, 390, 408, 420, 432, 445, 481, 506, 567, 605, 624, 628, 641]"
20,2,"[680, 778]"
2nd,10,"[148, 174, 181, 288, 326, 341, 370, 496, 730, 814]"
3,21,"[82, 126, 150, 200, 203, 230, 290, 310, 321, 359, 452, 456, 485, 512, 525, 531, 544, 665, 683, 725, 781]"
30,1,[616]
3r,1,[351]
